time,[raw] acc (e_r),[raw] acc (e_theta),[raw] acc (e_phi),[raw] w (e_r),[raw] w (e_theta),[raw] w (e_phi),[raw] euler (alpha),[raw] euler (beta),[raw] euler (gamma),delta time,acc (e_r),acc (e_theta),acc (e_phi),w (e_r),w (e_theta),w (e_phi),euler (alpha),euler (beta),euler (gamma),vel (e_r),vel (e_theta),vel (e_phi),acc (x),acc (y),acc (z),vel (x),vel (y),vel (z),pos (x),pos (y),pos (z)
0.697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03373465993530557,-0.07820410637105979,0.0029401385934357017,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03500000000000003,0.0,0.0,0.0,0.08325003867825795,-0.2553029440025188,0.010952811499120054,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03300000000000003,0.0,0.0,0.0,0.1421482313212304,-0.7622588048711435,0.03733651880372952,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03600000000000003,-0.00039091925449966065,9.10048247380244e-05,0.00043936594061019714,-0.04625927525870499,-1.7781022089477272,0.09540880261197608,0.0,0.0,0.0,-4.870202378974944e-06,1.1337684415278885e-06,5.473767343435378e-06,-0.00039091925449966065,9.10048247380244e-05,0.00043936594061019714,-4.870202378974944e-06,1.1337684415278885e-06,5.473767343435378e-06,-6.06746046380629e-08,1.4124865167368291e-08,6.819401815363249e-08
0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038999999999999924,-0.013942639776115767,0.003329506175712051,0.013215911863027514,-1.196982302996036,-3.222398256286429,0.17416571158320104,0.0,0.0,0.0,-0.00020726666798475397,4.9377808732442964e-05,0.00019991000848317217,-0.013942639776115767,0.003329506175712051,0.013215911863027514,-0.00020726666798475397,4.9377808732442964e-05,0.00019991000848317217,-3.034028582395665e-06,7.214805403049137e-07,2.965223238366982e-06
0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03500000000000003,-0.1920897371034409,0.04642103195901794,0.13101054828440473,-4.363501072608392,-4.5871307249236635,0.20415653111972012,0.0,0.0,0.0,-0.0027983902704750495,0.0006742027627178801,0.00209647823210556,-0.1920897371034409,0.04642103195901794,0.13101054828440473,-0.0027983902704750495,0.0006742027627178801,0.00209647823210556,-4.095110276638676e-05,9.83751501491663e-06,3.2935284159811745e-05
0.911,0.0,0.0,0.0,20.334342422795373,-31.363653924800705,0.3357489882061491,0.0,0.0,0.0,0.03600000000000003,-1.1555360292410317,0.2656299619151205,0.18639591694460822,-10.119084805501666,-5.312331858821453,0.10181990842347699,0.0,0.0,0.0,-0.023515264190749306,0.0055159508540319055,0.008821180449625522,-1.1555360292410317,0.2656299619151205,0.18639591694460822,-0.023515264190749306,0.0055159508540319055,0.008821180449625522,-0.0004238935429513097,0.00010029288468993026,0.00021179975185598267
0.95,-2.921,0.68,3.283,-35.42456385529347,9.678810633397154,4.7612058395629715,4.344822639914684,0.2694788365079245,2.8764771402118545,0.038999999999999924,-3.564638780931689,0.49124062530677415,-1.981053627731494,-17.637717063386702,-5.467726343818278,-0.044660450593747236,-0.48459066681622565,0.06736970912698112,0.7191192850529636,-0.1108543330491576,0.0211217475398515,-0.01373565742204829,-3.2420327005245353,-2.3743677080747814,-0.8509655821496891,-0.10651155888983055,-0.017453749255669324,0.001477066268475962,-0.0026844728833262995,5.8847964044256155e-05,0.0005186068627905011
0.988,-7.4510000000000005,2.36,-9.967,-35.423516657742276,1.6600699180344067,-5.178444250544735,1.829279589015257,0.49637163926718736,1.4409438304465185,0.038000000000000034,-6.737874618449553,-0.8456788712496357,-7.467441422667169,-24.87024113274093,-5.7705600161265025,0.18241157533275937,-1.598067096357308,0.19146261894377797,1.0793552426645934,-0.30593442300406526,0.023666272724511495,-0.183746910151355,2.431300790611476,-9.45825709124822,2.5508739266406386,-0.17479670701410788,-0.23107922298690842,-0.0005409359621353967,-0.008386118570906872,-0.003610691052138796,0.0003969837958147633
1.027,-10.161,-5.619999999999999,-15.467,-35.42456385529347,-7.410057138729726,-4.532672427306833,1.4781193435139977,0.7559020990387442,0.00767944870877505,0.038999999999999924,-8.91349048357601,-4.417726675839216,-10.94855551451791,-29.814771639554554,-6.740770720154574,1.3397031142201778,-2.799333587273705,0.380438143703464,1.0812751048417872,-0.6186554597889756,-0.07430659312028892,-0.5659926549551743,13.238315911518852,-5.18416266341233,-4.087656876966362,0.1520529983229908,-0.6009646864100211,0.06800733265091571,-0.0109884301414636,-0.019933448632768334,0.001404430232788052
