time,[raw] acc (e_r),[raw] acc (e_theta),[raw] acc (e_phi),[raw] w (e_r),[raw] w (e_theta),[raw] w (e_phi),[raw] euler (alpha),[raw] euler (beta),[raw] euler (gamma),delta time,acc (e_r),acc (e_theta),acc (e_phi),w (e_r),w (e_theta),w (e_phi),euler (alpha),euler (beta),euler (gamma),vel (e_r),vel (e_theta),vel (e_phi),acc (x),acc (y),acc (z),vel (x),vel (y),vel (z),pos (x),pos (y),pos (z)
0.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-8.643897927727827e-06,-1.4972359012500967e-05,-1.5763177768166742e-06,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03500000000000003,0.0,0.0,0.0,-3.286199839443551e-05,-5.665801464848711e-05,4.394735381562328e-06,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04400000000000004,0.0,0.0,0.0,-0.0001169680195095697,-0.0001995311840220946,5.20978372263654e-05,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03400000000000003,1.204475621532676e-06,-0.00010037296846105631,1.2446248089170983e-05,-0.00033074074557195036,-0.0005600002483971294,0.00027162538587389225,0.0,0.0,0.0,1.1052835115241036e-08,-9.210695929367528e-07,1.1421262952415735e-07,1.204475621532676e-06,-0.00010037296846105631,1.2446248089170983e-05,1.1052835115241036e-08,-9.210695929367528e-07,1.1421262952415735e-07,1.014260163516237e-10,-8.452168029301972e-09,1.0480688356334447e-09
0.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03499999999999992,4.9121067678698576e-05,-0.0034309607147152425,0.00043665413496740544,-0.0007380343843222688,-0.0012503011714907293,0.0009706875975413603,0.0,0.0,0.0,6.364495761661384e-07,-4.5201490422711836e-05,5.7376423160129584e-06,4.9121067678698576e-05,-0.0034309607147152425,0.00043665413496740544,6.364495761661384e-07,-4.5201490422711836e-05,5.7376423160129584e-06,8.036826500778697e-09,-5.770471605107276e-07,7.312299666015965e-08
0.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03500000000000003,0.000803629524159209,-0.044157944117460435,0.005860711449634171,-0.0012923413722820169,-0.002223019000165458,0.002599065117438992,0.0,0.0,0.0,1.1693099324229847e-05,-0.0006773796022820665,8.901157873477556e-05,0.000803629524159209,-0.044157944117460435,0.005860711449634171,1.1693099324229847e-05,-0.0006773796022820665,8.901157873477556e-05,1.663508480964644e-07,-1.0031362892964244e-05,1.3086056094997371e-06
0.91,0.0,0.0,0.0,-0.0018849555921538759,-0.003403392041388943,-0.0023212879051524586,0.0,0.0,0.0,0.03600000000000003,0.006302785881480769,-0.22873762888924132,0.03335353659967008,-0.0017627278163710046,-0.003146442041580948,0.0054144840425791214,0.0,0.0,0.0,0.00011590183472955852,-0.0049571141141260605,0.0006938660826932476,0.006302785881480769,-0.22873762888924132,0.03335353659967008,0.00011590183472955852,-0.0049571141141260605,0.0006938660826932476,1.978538556713853e-06,-9.345425064984845e-05,1.2791954239729443e-05
0.948,0.009000000000000001,-0.75,0.093,-0.0062482787221397,-0.011082840750163993,0.006230825429619756,0.0,-0.03490658503988659,-1.698379895115682,0.03799999999999992,0.02527380823123266,-0.5449822737456858,0.09376246764285559,-0.0018520413203204004,-0.0035252218782515447,0.008944676032774237,0.0,-0.008726646259971648,-0.4245949737789205,0.0006603347322071634,-0.019559584858195336,0.0030211890845052414,0.02609106738435901,-0.5351242169585639,-0.13927373422592254,0.0006709447633179265,-0.01943160306832744,-4.193185370114378e-06,1.4735068306161715e-05,-0.0005149212437115031,3.654673702761906e-05
0.985,0.069,-0.7999999999999999,0.18300000000000002,-0.00747000919853573,-0.005497787143782138,0.021589722847169857,0.0,-0.03385938748868999,-1.698379895115682,0.03700000000000003,0.053659649487959524,-0.7689604070250317,0.15831241806728263,-0.0014471440050574402,-0.00302141684537071,0.011815783185065931,0.0,-0.017191493132144145,-0.849189947557841,0.0021132924092956066,-0.044497757118365934,0.007736135123593223,0.0563732129856165,-0.6261109710402765,-0.4733385681203926,0.002187165432065259,-0.042267408631037465,-0.011599988494975571,6.361930093441092e-05,-0.0016428647941534496,-0.00011959711200766707
1.024,0.089,-0.89,0.21300000000000002,0.01329940890019679,0.005323254218582705,0.024905848425959082,6.28213810962839,-0.03385938748868999,-1.698379895115682,0.039000000000000035,0.06612358360359308,-0.8586838551239535,0.19192158000084764,-0.0006428947273270395,-0.001641276656130627,0.012448220510334961,-0.00026179938779913314,-0.025656340004316644,-1.2737849213367616,0.004564322184316205,-0.07651165274195014,0.014727044158221009,0.07125001372785447,-0.4331310160847214,-0.7654182795559141,0.004790571866198409,-0.06335606795595713,-0.03586456887887617,0.0001974598955238366,-0.00373444772330319,-0.0010292247374242283
