time,[raw] acc (e_r),[raw] acc (e_theta),[raw] acc (e_phi),[raw] w (e_r),[raw] w (e_theta),[raw] w (e_phi),[raw] euler (alpha),[raw] euler (beta),[raw] euler (gamma),delta time,acc (e_r),acc (e_theta),acc (e_phi),w (e_r),w (e_theta),w (e_phi),euler (alpha),euler (beta),euler (gamma),vel (e_r),vel (e_theta),vel (e_phi),acc (x),acc (y),acc (z),vel (x),vel (y),vel (z),pos (x),pos (y),pos (z)
0.689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.003206519960832494,-0.030475262928953122,0.016425407287715535,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03400000000000003,0.0,0.0,0.0,-0.011432897173322179,-0.10922096289488747,0.05890031930538763,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03500000000000003,0.0,0.0,0.0,-0.03785946084578801,-0.36381077060617745,0.19632365466881047,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03500000000000003,-0.000622446235083164,8.43132935072873e-05,-0.0012482382357816963,-0.10076050628574314,-0.9758724632366665,0.5270941488342042,0.0,0.0,0.0,-7.26187274263692e-06,9.836550909183528e-07,-1.4562779417453137e-05,-0.000622446235083164,8.43132935072873e-05,-0.0012482382357816963,-7.26187274263692e-06,9.836550909183528e-07,-1.4562779417453137e-05,-8.472184866409748e-08,1.1475976060714127e-08,-1.698990932036201e-07
0.827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03399999999999992,-0.021545521678954783,0.0030691022135722126,-0.04229112249790702,-0.2164067659024339,-2.1187030297172025,1.1459053407292608,0.0,0.0,0.0,-0.00026912458549653063,3.813582305986301e-05,-0.0005294745801217219,-0.021545521678954783,0.0030691022135722126,-0.04229112249790702,-0.00026912458549653063,3.813582305986301e-05,-0.0005294745801217219,-3.338021623803477e-06,4.7092072395213816e-07,-6.579899267009601e-06
0.862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03500000000000003,-0.2830860496519536,0.04368889036456763,-0.5357724821915658,-0.3803169260278406,-3.7796846343136026,2.0483556397759637,0.0,0.0,0.0,-0.004354015240157503,0.0006599102617624012,-0.008311718726593437,-0.2830860496519536,0.04368889036456763,-0.5357724821915658,-0.004354015240157503,0.0006599102617624012,-0.008311718726593437,-6.404988914948301e-05,9.582867370661378e-06,-0.00012300915151898197
0.9,0.0,0.0,0.0,-1.0066710059652892,-9.457677417169473,5.091771199890697,0.0,0.0,0.0,0.038000000000000034,-1.5385733434264568,0.28144929841275335,-2.661243392563372,-0.5576504610902691,-5.657721326819334,3.075398013883346,0.0,0.0,0.0,-0.03450610318656047,0.00589670479342019,-0.06205293995037073,-1.5385733434264568,0.28144929841275335,-2.661243392563372,-0.03450610318656047,0.00589670479342019,-0.06205293995037073,-0.0006715538658836851,0.00011047228183624971,-0.001232238546872591
0.936,-4.651000000000001,0.63,-9.327,-0.9489006077242771,-9.457677417169473,5.118998336221809,6.0049798244116905,0.4658283773572866,0.19303341527057286,0.03600000000000003,-4.01370262501827,0.9772129439207997,-5.685258329194568,-0.7007096389364309,-7.305304185956682,3.9889207000356333,-0.06955137069197392,0.11645709433932165,0.048258353817643214,-0.13073980648532105,0.026504802293882024,-0.2128740708888825,-3.3837362643490025,0.3998858471894299,-6.1463270635452,-0.12340186498789568,0.019780010741214764,-0.21824466781307783,-0.0032615243688552237,0.0005396673712264568,-0.00583657804603989
0.975,-6.971,2.07,-7.1370000000000005,-0.8811818327468971,-9.427134155259571,5.144131077450528,5.768313177841259,0.7538077039363509,0.44401176170735746,0.038999999999999924,-6.317181742075087,2.1834472787528556,-6.231340878904554,-0.7811651391418455,-8.412886508282227,4.624221135940353,-0.1982694030265557,0.3049090203234094,0.15926129424448257,-0.3381813164409685,0.08745315370800368,-0.4611482547371597,-4.447299174716749,-0.37296622473875785,-7.974099483726981,-0.2814610242346791,0.024127279986553698,-0.5076988480528096,-0.011035815920734555,0.0014934144722576694,-0.01970739033124345
1.015,-8.061,3.7399999999999998,-4.237,-0.8298691527382639,-9.36604763143977,5.16490049554926,5.489060497522167,0.9173450548482196,0.9108873366158405,0.039999999999999925,-7.4575603297992075,3.6234185160776535,-4.336584058829052,-0.8070112578631549,-8.922815667259997,4.951653058907313,-0.39680060544091056,0.5342452840354643,0.38698312839844273,-0.615636052058367,0.20295589668965988,-0.6725729523695708,-4.9167347732807,-2.573634681602725,-7.53342238357863,-0.467429412180394,-0.02946921025912739,-0.8188026205976717,-0.02597899324187099,0.0016666218133153739,-0.04642996670978149
1.051,-7.971,5.010000000000001,-1.967,-0.7797782032060265,-9.33550436952987,5.216213175557893,5.138947449572104,0.8628907821859965,1.4627604460964476,0.03600000000000003,-7.349264020281868,5.02754561943221,-1.8499145718069547,-0.8171341268250352,-8.847293127190584,4.981855328339629,-0.6828600698427811,0.7499679795819635,0.7526732399225546,-0.8878472902910752,0.3585787927794681,-0.7891308651214151,-5.232124584150952,-5.598136933088549,-4.898552411945644,-0.6521431199790046,-0.17485996362930775,-1.0567123660084659,-0.046049031232577815,-0.0016364599294400768,-0.0802803644364259
